,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
63,Russia,Central and Eastern Europe,60.0300808422636,60.811463909789644,75.19282238442823,58.655565293602095,2015
64,Jamaica,Latin America and Caribbean,59.89847715736041,43.318091947554,70.01338199513381,60.246275197195445,2015
65,North Cyprus,Western Europe,59.635269787554066,64.5756980159457,65.09002433090025,80.943032427695,2015
66,Cyprus,Western Europe,59.52246662906562,64.57943979935142,54.32968369829684,80.943032427695,2015
67,Algeria,Middle East and Northern Africa,57.9432224102275,50.20885335943384,65.55474452554745,54.13321647677476,2015
68,Kosovo,Central and Eastern Europe,57.64241398759167,42.8423509145408,49.39051094890512,55.33041191936897,2015
69,Turkmenistan,Central and Eastern Europe,56.87159240458733,51.2341020126016,74.61557177615572,47.22699386503068,2015
70,Mauritius,Sub-Saharan Africa,55.53675502914083,53.86083396341825,59.92761557177616,62.182296231375986,2015
71,Hong Kong,Eastern Asia,55.48035344989661,74.08944959523649,64.3661800486618,88.80631025416301,2015
72,Estonia,Central and Eastern Europe,54.634329761233325,61.56516599579931,74.6903892944039,67.80105170902718,2015
73,Indonesia,Southeastern Asia,54.070313968791126,44.274384877959164,66.1240875912409,55.909728308501315,2015
74,Vietnam,Southeastern Asia,53.33709343861629,33.791511396586465,55.49026763990268,65.4478527607362,2015
75,Turkey,Middle East and Northern Africa,52.810678699003574,56.71367654003782,57.56204379562044,64.12971078001753,2015
76,Kyrgyzstan,Central and Eastern Europe,51.945854483925544,25.352186195224352,70.02128953771289,57.044697633654685,2015
77,Nigeria,Sub-Saharan Africa,51.60744500846024,34.97765673620025,55.007299270073,14.028921998247151,2015
78,Bhutan,Southern Asia,51.32543711223915,41.18206816337342,67.15024330900243,50.31288343558282,2015
79,Azerbaijan,Central and Eastern Europe,50.55461552923482,54.73106587549182,57.051703163017045,56.130587204206826,2015
80,Pakistan,Southern Asia,50.21620605376951,31.828144189555612,25.189172749391727,45.10604732690622,2015
81,Jordan,Middle East and Northern Africa,50.17860500094004,48.21448280418416,64.10705596107056,61.03330411919369,2015
82,Montenegro,Central and Eastern Europe,50.17860500094004,52.084555926673495,55.08333333333334,63.55915863277827,2015
83,China,Eastern Asia,49.20097762737357,47.58051778715759,57.588199513382,71.56704645048202,2015
84,Zambia,Sub-Saharan Africa,48.99417183681143,25.143715405477003,55.725060827250616,26.226117440841367,2015
85,Romania,Central and Eastern Europe,48.90016920473773,55.776627067147786,53.88564476885646,67.38825591586328,2015
86,Serbia,Central and Eastern Europe,48.881368678323,49.206055406700415,61.41362530413627,65.58808063102542,2015
87,Portugal,Western Europe,48.48655762361347,62.00188557329569,69.30352798053528,76.70376862401402,2015
88,Latvia,Central and Eastern Europe,48.411355517954505,59.50077063681398,66.64355231143553,63.48553900087642,2015
89,Philippines,Southeastern Asia,47.941342357586024,37.70220959605221,62.96593673965938,50.93251533742331,2015
90,Somaliland region,Sub-Saharan Africa,47.64053393495019,10.074484549662508,57.87834549878346,38.45135845749343,2015
91,Morocco,Middle East and Northern Africa,46.81331077270164,39.27750040986106,38.987226277372265,53.42156003505697,2015
92,Macedonia,Central and Eastern Europe,46.7005076142132,49.09807822842102,60.96836982968371,64.45661700262929,2015
93,Mozambique,Sub-Saharan Africa,46.02368866328258,4.440962362105169,62.42457420924574,8.002629272567923,2015
94,Albania,Central and Eastern Europe,45.7980823463057,46.968468930078814,48.92579075425792,71.2751971954426,2015
95,Bosnia and Herzegovina,Central and Eastern Europe,45.6100770821583,44.48606291062571,55.90997566909975,69.30850131463629,2015
96,Lesotho,Sub-Saharan Africa,44.65125023500658,20.069322566831794,63.32299270072993,6.671340929009641,2015
97,Dominican Republic,Latin America and Caribbean,44.40684339161496,47.86115154258672,71.29075425790755,58.56704645048203,2015
98,Laos,Southeastern Asia,44.23763865388232,31.573168377480005,44.89233576642336,48.12357581069237,2015
99,Mongolia,Eastern Asia,44.20003760105283,44.270108554066915,79.11192214111922,52.82033304119194,2015
100,Swaziland,Sub-Saharan Africa,44.06843391614966,38.06248988397456,65.25790754257909,6.63102541630149,2015
101,Greece,Western Europe,43.880428652002266,61.68917938867467,56.528588807785894,77.31200701139352,2015
102,Lebanon,Middle East and Northern Africa,43.542019176536954,54.82461046063487,48.66240875912409,73.57318141980718,2015
103,Hungary,Central and Eastern Europe,42.8087986463621,59.91878129728174,73.1234793187348,66.52497808939528,2015
104,Honduras,Latin America and Caribbean,42.583192329385234,31.82226424420376,57.997566909975674,60.92024539877301,2015
105,Tajikistan,Central and Eastern Europe,42.54559127655574,20.872202377602374,52.04562043795621,50.288343558282214,2015
106,Tunisia,Middle East and Northern Africa,41.66196653506298,47.09996588976561,36.757299270073,64.67397020157756,2015
107,Palestinian Territories,Middle East and Northern Africa,41.21075390110923,32.00133530719188,56.30048661800486,57.85714285714286,2015
108,Bangladesh,Southern Asia,40.81594284639971,21.249587961093734,26.22019464720195,52.72918492550394,2015
109,Iran,Middle East and Northern Africa,40.66553863508179,53.92444428131552,33.11861313868613,61.178790534618756,2015
110,Ukraine,Central and Eastern Europe,40.57153600300809,42.71352665728667,73.161800486618,59.062226117440844,2015
111,Iraq,Middle East and Northern Africa,40.496333897349125,52.678430407210186,49.81082725060828,52.79316389132339,2015
112,South Africa,Sub-Saharan Africa,39.83831547283325,49.203917244754294,72.06082725060827,24.26643295354952,2015
113,Ghana,Sub-Saharan Africa,39.66911073510059,29.1634598641952,41.334549878345506,35.1726555652936,2015
114,Zimbabwe,Sub-Saharan Africa,39.23669862756158,14.486047185008433,62.81995133819951,29.33829973707274,2015
115,Liberia,Sub-Saharan Africa,38.503478097386726,3.8059282641055368,48.03406326034064,29.974583698510077,2015
116,India,Southern Asia,38.3906749388983,34.4773268408066,23.22019464720195,45.161262050832605,2015
117,Sudan,Sub-Saharan Africa,38.1086670426772,27.853301131706072,61.68126520681266,32.32077125328659,2015
118,Haiti,Latin America and Caribbean,37.507050197405526,14.257798397259409,45.19586374695864,34.0464504820333,2015
119,Congo (Kinshasa),Sub-Saharan Africa,37.4882496709908,0.0,60.90024330900244,8.59421560035057,2015
